StudentID,Class,Version,Score_B (Math Anxiety),Score_C (Test Anxiety),Score_D (Math Thinking),Score_E (Classroom Safety),Score_F (Exam Self-Reg),Score_G (Academic Pressure),Score_H (Exam Phobia)
S001,6,English,27,17,14,24,20,25,15
S002,6,English,33,24,20,24,20,26,10
S003,6,English,35,24,19,23,15,25,17
S004,6,Bangla,36,20,14,24,14,23,9
S005,6,English,25,16,20,24,12,22,14
S006,6,Bangla,35,17,13,18,16,26,13
S007,6,English,26,17,21,20,26,25,21
S008,6,English,24,21,11,24,25,19,16
S009,6,Bangla,25,20,19,29,23,23,19
S010,6,English,26,19,14,21,16,22,19
S011,6,Bangla,26,17,10,22,16,28,16
S012,6,Bangla,23,17,19,19,27,23,21
S013,6,Bangla,21,20,19,19,17,20,17
S014,6,English,27,21,21,21,25,20,14
S015,6,Bangla,32,19,14,24,26,32,18
S016,6,English,25,20,21,21,23,19,13
S017,6,English,31,15,16,16,16,30,18
S018,6,Bangla,27,16,27,15,21,26,20
S019,6,Bangla,27,19,22,29,22,28,20
S020,6,English,28,19,18,26,18,28,14
S021,6,Bangla,28,20,16,18,24,22,14
S022,6,English,31,19,16,26,18,27,15
S023,6,Bangla,31,21,21,19,24,28,15
S024,6,English,27,21,14,23,21,31,19
S025,6,English,31,22,20,30,17,30,20
S026,6,Bangla,24,21,21,28,17,24,17
S027,6,Bangla,29,21,18,23,24,23,18
S028,6,English,21,15,18,23,21,27,14
S029,6,Bangla,24,19,24,22,23,24,14
S030,6,English,33,19,21,20,25,23,13
S031,6,Bangla,24,21,25,24,17,27,16
S032,6,Bangla,34,23,16,18,23,30,17
S033,6,English,29,21,15,24,16,27,9
S034,7,English,22,20,17,23,25,27,11
S035,7,Bangla,25,23,17,23,19,22,11
S036,7,English,27,23,19,23,21,28,10
S037,7,Bangla,23,17,11,27,25,23,15
S038,7,Bangla,33,21,24,17,24,28,9
S039,7,Bangla,29,13,16,13,20,28,16
S040,7,English,28,15,17,21,22,23,11
S041,7,Bangla,34,17,21,19,18,22,22
S042,7,English,23,20,13,18,20,22,10
S043,7,English,25,22,22,27,24,23,22
S044,7,English,20,26,17,20,17,29,16
S045,7,English,34,18,18,26,19,18,12
S046,7,Bangla,27,21,17,24,24,18,18
S047,7,English,23,22,16,24,26,14,9
S048,7,Bangla,31,20,19,17,17,21,14
S049,7,English,27,24,25,16,25,19,13
S050,7,English,15,22,17,15,15,21,9
S051,7,English,31,19,21,15,25,24,18
S052,7,Bangla,28,21,19,17,23,26,16
S053,7,Bangla,20,23,16,16,27,23,17
S054,7,English,30,21,15,27,16,26,17
S055,7,Bangla,21,15,20,20,21,28,13
S056,7,English,37,20,18,15,20,20,18
S057,7,Bangla,29,17,20,26,24,27,13
S058,7,Bangla,23,21,23,23,26,25,19
S059,7,Bangla,27,22,10,22,14,28,20
S060,7,English,34,22,17,19,23,26,15
S061,7,English,31,19,15,15,20,26,15
S062,7,Bangla,24,22,17,22,23,24,15
S063,7,English,28,18,21,19,14,18,12
S064,7,English,25,19,17,17,22,22,13
S065,7,Bangla,29,16,16,20,19,21,14
S066,7,English,29,20,17,22,21,26,15
S067,7,Bangla,27,18,14,21,25,19,14
S068,9,English,20,20,15,14,24,23,11
S069,9,English,18,18,10,19,23,23,13
S070,9,English,22,18,21,21,20,27,11
S071,9,Bangla,16,18,20,20,26,26,9
S072,9,English,26,24,14,16,22,14,17
S073,9,Bangla,25,25,22,21,20,26,10
S074,9,Bangla,38,21,14,19,21,22,15
S075,9,Bangla,27,20,13,11,25,31,24
S076,9,Bangla,30,21,23,25,13,23,17
S077,9,Bangla,30,23,18,21,23,21,13
S078,9,Bangla,29,17,17,18,25,22,11
S079,9,English,19,25,22,24,23,32,14
S080,9,Bangla,33,17,14,21,24,23,12
S081,9,Bangla,29,22,24,17,20,23,17
S082,9,Bangla,36,20,17,16,20,23,15
S083,9,English,32,14,19,23,19,22,14
S084,9,Bangla,30,23,17,20,28,24,14
S085,9,English,29,21,16,21,24,28,11
S086,9,English,27,22,17,17,28,28,13
S087,9,English,26,14,17,19,28,23,12
S088,9,Bangla,28,21,12,23,24,28,13
S089,9,Bangla,23,18,20,24,18,27,17
S090,9,English,29,25,19,23,29,25,18
S091,9,Bangla,29,19,19,23,22,24,16
S092,9,Bangla,25,18,17,22,28,19,11
S093,9,Bangla,38,23,21,22,20,25,12
S094,9,Bangla,34,19,17,18,22,31,12
S095,9,English,25,14,19,23,22,30,13
S096,9,English,33,13,16,29,21,20,13
S097,9,Bangla,32,15,18,25,20,26,14
S098,9,Bangla,17,24,10,20,27,20,17
S099,9,Bangla,27,16,20,23,27,25,16
S100,9,Bangla,26,24,14,20,18,28,16
