StudentID,Class,Version,Section,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,E2,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,G1,G2,G4,EN1,EN3,FN7,GN3,GN5,GN6,GN7,GN8,HN1,HN2,HN3,HN5,HN6
S001,6,English,B,2,4,1,3,4,4,3,5,1,3,2,1,4,1,1,1,4,3,3,2,2,1,3,2,5,4,4,2,4,5,1,3,2,1,1,5,5,3,4,4,2,4,2,2,4,2,4,2,2,5
S002,6,English,B,3,2,5,4,5,4,3,4,3,3,4,3,1,4,1,4,4,2,3,4,5,3,3,4,2,5,2,5,2,5,2,3,4,3,4,5,1,1,5,1,3,3,2,5,3,1,2,2,1,4
S003,6,English,E,2,4,5,5,5,4,5,3,2,1,4,4,3,3,2,4,3,3,4,4,2,1,5,2,3,4,3,5,1,3,2,4,1,1,5,5,1,5,1,3,1,1,3,5,4,4,4,4,4,1
S004,6,Bangla,E,5,4,5,2,2,4,5,4,5,1,3,1,4,1,4,4,2,1,4,1,3,1,4,5,4,2,4,5,1,3,1,2,4,2,1,4,2,1,3,1,2,5,3,4,2,1,2,2,2,2
S005,6,English,E,5,5,1,4,3,1,1,4,1,1,1,3,2,1,4,3,1,5,3,5,3,2,2,4,3,1,5,3,1,1,1,5,2,1,1,4,4,3,5,1,1,2,5,2,3,4,1,2,4,3
S006,6,Bangla,A,5,1,5,4,5,4,4,5,2,3,2,4,1,2,3,1,1,1,3,3,1,1,4,2,5,3,4,2,3,1,5,2,2,1,3,5,2,1,1,2,3,2,3,3,5,2,4,3,3,1
S007,6,English,A,5,2,2,2,1,3,4,2,5,1,3,1,2,2,1,3,4,1,4,4,5,2,5,3,5,2,3,3,4,2,3,5,5,5,5,4,2,3,1,2,5,1,4,2,2,5,5,5,3,3
S008,6,English,C,1,5,2,1,5,1,4,1,4,2,3,2,4,4,2,2,2,1,2,2,4,1,1,4,2,5,2,5,4,4,3,5,3,1,2,1,4,3,3,5,1,1,5,3,2,2,4,4,2,4
S009,6,Bangla,A,5,1,3,3,1,4,2,1,5,3,2,1,2,4,4,1,3,4,3,4,2,2,4,5,2,5,4,4,4,4,5,1,2,5,2,5,5,4,5,2,1,2,1,2,5,5,3,4,2,5
S010,6,English,C,1,4,3,1,4,4,2,4,3,3,3,4,4,2,1,1,1,3,2,4,2,2,1,2,4,3,4,4,3,3,3,1,2,1,4,1,2,2,2,3,2,3,5,1,4,4,4,4,4,3
