StudentID,Class,Version,Section,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,E2,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,G1,G2,G4,EN1,EN3,FN7,GN3,GN5,GN6,GN7,HN1,HN2,HN3,HN5,HN6
S001,9,English,A,2,3,3,1,2.0,4.0,1,1,1,3,2,1.0,3,1.0,1,3,2,2,3,3.0,4.0,4,3,2.0,2.0,2,3,5.0,1.0,3,1,3,3.0,2.0,4,2,2,2,3.0,4.0,3,2,4.0,4.0,2.0,2.0,4,2,3.0
S002,9,English,A,3,5,5,5,2.0,4.0,5,1,2,2,3,1.0,2,1.0,1,3,4,1,2,2.0,2.0,4,3,5.0,3.0,4,1,5.0,1.0,1,1,5,1.0,1.0,5,5,5,5,5.0,5.0,5,5,5.0,5.0,5.0,5.0,5,3,3.0
S003,9,English,A,3,5,4,5,3.0,5.0,5,3,2,4,4,4.0,4,4.0,4,4,4,3,3,2.0,3.0,2,1,1.0,2.0,5,1,4.0,1.0,4,5,4,5.0,3.0,5,2,4,2,5.0,5.0,3,4,5.0,4.0,5.0,5.0,1,5,5.0
S004,9,English,A,4,5,5,5,4.0,5.0,5,4,3,2,3,1.0,1,1.0,2,2,1,5,5,4.0,5.0,4,3,4.0,5.0,3,3,3.0,1.0,2,3,4,3.0,4.0,4,3,5,4,4.0,5.0,4,5,3.0,5.0,5.0,5.0,3,5,5.0
S005,9,English,A,3,4,2,5,5.0,4.0,3,3,1,3,4,2.0,4,1.0,2,4,4,2,3,2.0,5.0,4,5,5.0,3.0,4,5,1.0,1.0,3,4,5,3.0,4.0,5,1,5,2,4.0,5.0,5,4,4.0,2.0,4.0,5.0,3,2,1.0
S006,9,English,A,3,2,1,5,4.0,5.0,2,5,1,4,4,4.0,4,1.0,4,4,4,1,2,1.0,1.0,5,1,2.0,5.0,4,1,3.0,1.0,2,5,1,3.0,1.0,5,1,5,4,4.0,5.0,3,1,5.0,4.0,5.0,5.0,5,4,3.0
S007,9,English,A,3,2,5,4,2.0,5.0,5,1,1,4,2,1.0,2,1.0,1,2,3,1,2,1.0,2.0,2,1,3.0,1.0,1,4,3.0,2.0,1,1,4,1.0,1.0,5,2,3,3,1.0,2.0,1,3,1.0,1.0,2.0,3.0,1,4,3.0
S008,7,English,A,2,3,3,3,2.0,4.0,3,4,1,1,2,2.0,3,1.0,4,3,3,1,3,3.0,,4,3,2.0,3.0,3,3,3.0,1.0,3,4,2,3.0,3.0,4,3,4,1,,4.0,4,3,3.0,3.0,2.0,,4,4,3.0
S009,9,English,A,1,2,4,4,2.0,3.0,3,1,1,2,2,2.0,1,1.0,2,2,3,2,3,2.0,,1,3,1.0,4.0,1,1,3.0,2.0,3,1,4,1.0,2.0,5,2,3,3,2.0,1.0,3,1,1.0,2.0,3.0,1.0,4,4,2.0
S010,9,English,A,1,5,5,4,2.0,5.0,5,1,1,4,4,2.0,1,4.0,1,4,4,3,3,1.0,2.0,5,4,2.0,5.0,1,3,1.0,1.0,1,4,4,5.0,4.0,5,5,1,3,2.0,5.0,5,5,5.0,4.0,5.0,1.0,1,1,5.0
S011,9,English,A,2,4,5,4,2.0,3.0,3,2,1,3,4,2.0,3,1.0,4,4,4,2,4,1.0,2.0,5,3,2.0,1.0,3,3,2.0,2.0,4,3,5,4.0,3.0,3,2,3,3,4.0,5.0,3,4,5.0,4.0,2.0,3.0,4,5,1.0
S012,9,English,A,1,2,3,4,3.0,2.0,3,2,3,2,2,2.0,1,1.0,1,2,3,4,5,2.0,2.0,2,2,,2.0,4,2,5.0,2.0,3,3,3,2.0,2.0,3,2,2,5,2.0,4.0,4,2,4.0,4.0,2.0,4.0,5,4,1.0
S013,9,English,A,3,5,4,4,3.0,4.0,5,4,3,3,3,2.0,2,3.0,3,2,2,4,2,3.0,2.0,3,4,4.0,3.0,4,3,1.0,1.0,2,2,1,2.0,3.0,4,2,3,3,4.0,4.0,4,1,4.0,2.0,4.0,5.0,4,3,3.0
S014,7,English,A,3,1,1,1,3.0,1.0,2,1,3,4,2,2.0,2,1.0,1,4,2,1,1,5.0,1.0,5,1,2.0,3.0,4,3,2.0,5.0,2,3,1,3.0,1.0,1,2,3,3,3.0,3.0,1,1,1.0,1.0,1.0,1.0,2,4,5.0
S015,9,English,A,4,3,2,3,4.0,3.0,3,4,4,3,1,2.0,3,1.0,2,3,1,1,1,1.0,3.0,3,1,1.0,1.0,3,3,1.0,1.0,1,1,2,1.0,3.0,4,4,2,3,1.0,4.0,4,5,5.0,5.0,5.0,4.0,5,5,4.0
S016,9,English,A,3,2,5,4,2.0,4.0,3,4,1,4,2,3.0,2,1.0,4,2,2,3,2,2.0,1.0,5,3,5.0,2.0,3,4,2.0,1.0,2,5,2,4.0,4.0,5,2,3,2,3.0,4.0,3,4,5.0,5.0,5.0,3.0,2,4,4.0
S017,9,English,A,2,3,4,3,3.0,5.0,3,2,1,2,2,1.0,2,1.0,3,2,1,4,4,2.0,2.0,3,2,1.0,2.0,5,1,3.0,1.0,1,4,1,3.0,4.0,2,1,2,3,4.0,5.0,3,4,2.0,4.0,5.0,1.0,5,1,5.0
S018,9,English,A,3,5,4,5,4.0,5.0,5,4,1,4,4,2.0,4,3.0,4,4,4,3,5,1.0,2.0,5,3,5.0,5.0,5,1,5.0,1.0,1,3,5,1.0,5.0,5,5,5,1,5.0,5.0,5,1,5.0,3.0,5.0,5.0,3,3,5.0
S019,7,English,A,3,5,2,4,5.0,5.0,5,4,2,2,4,3.0,2,1.0,3,4,2,3,2,1.0,3.0,4,2,4.0,3.0,5,3,4.0,1.0,2,5,1,1.0,5.0,1,2,3,1,5.0,4.0,4,3,5.0,4.0,,4.0,5,4,4.0
