StudentID,Class,Version,Section,Avg_B (Math Anxiety),Avg_C (Test Anxiety),Avg_D (Math Thinking),Avg_E (Classroom Safety),Avg_F (Exam Self-Reg),Avg_G (Academic Pressure),Avg_H (Exam Phobia)
S001,9,English,A,2.0,2.0,3.17,2.71,2.43,3.0,2.6
S002,9,English,A,3.56,2.12,2.33,4.0,2.14,5.0,4.2
S003,9,English,A,3.89,4.0,2.33,2.86,3.86,3.86,4.2
S004,9,English,A,4.44,1.62,4.33,3.71,3.14,4.14,4.6
S005,9,English,A,3.33,3.0,3.5,3.43,3.57,3.71,3.0
S006,9,English,A,3.11,3.62,1.83,3.29,2.57,3.43,4.4
S007,9,English,A,3.11,2.0,1.5,2.29,1.71,2.29,2.6
S008,7,English,A,2.78,2.38,2.67,2.57,2.86,3.43,3.2
S009,9,English,A,2.33,1.88,2.17,2.14,2.0,2.43,2.8
S010,9,English,A,3.22,3.0,3.0,2.43,3.43,4.29,2.6
S011,9,English,A,2.89,3.12,2.83,2.57,3.71,3.43,3.0
S012,9,English,A,2.56,1.75,2.83,3.14,2.71,3.0,3.2
S013,9,English,A,3.89,2.5,3.0,3.14,2.14,2.86,3.8
S014,7,English,A,1.78,2.25,2.33,2.86,2.57,1.43,2.6
S015,9,English,A,3.33,2.0,1.67,1.86,1.86,4.14,4.6
S016,9,English,A,3.11,2.5,2.67,3.0,3.14,3.86,3.6
S017,9,English,A,2.89,1.75,2.83,2.71,2.71,2.57,3.4
S018,9,English,A,4.0,3.62,3.17,3.86,3.0,4.14,4.2
S019,7,English,A,3.89,2.62,2.5,3.57,2.71,3.14,4.0
S020,9,English,A,3.33,2.62,3.0,3.43,3.0,3.71,4.4
S021,9,English,A,2.67,3.12,2.83,2.43,3.57,4.29,4.4
S022,9,English,A,2.11,1.88,3.0,2.43,2.71,2.43,3.6
S023,9,English,A,3.22,2.5,2.33,3.57,2.86,3.43,4.8
S024,9,English,A,2.33,1.75,2.33,3.29,2.0,3.29,2.2
S025,9,English,A,1.33,2.25,2.5,2.29,2.14,2.71,2.6
S026,9,English,A,2.78,2.0,3.17,2.14,2.43,2.29,2.8
S027,7,English,A,2.67,1.75,2.0,3.29,2.29,2.29,2.4
S028,9,English,A,2.11,2.12,2.67,3.43,3.14,3.71,3.4
S029,9,English,A,2.44,2.12,1.83,2.14,2.71,4.43,4.2
S030,9,English,A,1.44,1.5,2.83,2.86,2.14,2.43,1.4
S031,9,English,A,1.0,1.12,1.0,1.0,1.29,1.29,1.8
S032,9,English,A,2.56,1.75,3.5,3.29,3.57,3.57,3.8
S033,9,English,A,2.22,1.88,2.67,2.29,2.43,3.29,4.6
S034,7,English,A,2.22,2.38,2.67,3.14,2.14,3.0,3.2
S035,9,English,A,2.33,1.62,3.0,2.71,2.14,4.14,4.4
S036,9,English,A,4.0,2.62,2.67,2.14,2.0,2.57,2.8
S037,9,English,A,3.33,2.5,1.83,2.86,2.43,3.29,4.2
S038,9,English,A,4.0,3.5,2.17,4.14,2.29,3.29,4.8
S039,7,English,A,1.89,2.25,2.17,2.0,1.71,4.29,3.4
S040,7,English,A,2.22,2.12,2.5,1.86,2.14,3.14,3.8
S041,7,English,A,2.44,1.88,2.67,3.71,3.43,3.43,2.4
S042,7,English,A,2.22,2.12,1.5,2.86,2.0,3.0,3.6
S043,7,English,A,3.67,2.38,3.0,3.0,3.0,3.57,3.6
S044,7,English,A,1.89,1.62,2.17,2.57,2.57,2.71,3.2
S045,7,English,A,3.56,3.0,1.83,2.86,1.86,4.0,2.0
S046,7,English,A,1.67,2.75,2.33,2.86,2.14,3.0,2.6
S047,7,English,A,2.56,2.75,2.5,2.86,2.43,2.14,4.0
S048,9,English,A,2.67,2.25,2.67,3.43,1.86,2.43,1.0
S049,7,English,A,2.22,1.62,2.33,2.57,1.86,3.57,2.4
S050,7,English,A,2.33,2.25,3.17,2.71,2.29,3.14,2.6
S051,7,English,A,3.11,3.12,3.0,2.43,3.0,3.14,3.0
S052,7,English,A,3.56,2.12,2.5,2.86,1.57,2.29,1.4
S053,7,English,A,1.78,2.0,3.67,2.86,4.71,2.14,1.4
S054,7,English,A,2.89,1.88,2.0,3.29,2.29,2.71,3.8
S055,7,English,A,2.89,2.5,1.83,2.29,1.43,2.86,3.6
S056,7,English,A,3.0,1.5,3.67,2.43,2.57,2.43,2.0
S057,9,English,A,3.22,3.75,3.17,1.86,3.07,3.29,3.4
S058,7,English,A,1.89,1.38,1.33,1.43,1.57,1.86,1.4
S059,7,English,A,2.11,1.75,2.0,3.0,2.14,2.57,3.4
S060,7,English,A,1.67,1.5,1.5,1.43,1.57,1.86,1.4
S061,7,English,A,3.89,3.88,1.83,3.14,1.93,3.14,3.2
S062,9,English,A,3.22,3.12,2.67,3.0,3.43,2.57,3.4
S063,7,English,A,2.78,2.12,2.5,3.57,2.0,3.71,2.8
S064,7,English,A,2.89,2.0,2.5,2.71,2.57,1.71,2.2
S065,7,English,A,2.0,1.62,3.33,2.43,2.86,1.71,2.4
S066,7,English,A,2.22,1.88,2.17,2.14,4.57,3.86,3.4
S067,7,English,A,2.11,2.0,3.5,3.14,2.71,3.14,2.8
S068,7,English,A,3.44,2.62,2.17,3.0,2.43,3.29,2.4
S069,7,English,A,2.78,3.12,2.67,3.71,3.86,3.57,5.0
S070,7,English,A,3.22,1.88,2.83,2.14,2.57,3.14,3.4
