Question_ID,Corr_with_Math_Anxiety,Corr_with_Exam_Phobia
B1,0.56,0.362
B2,0.629,0.279
B3,0.595,0.296
B4,0.677,0.375
B5,0.459,0.154
B6,0.629,0.22
B7,0.664,0.259
B8,0.614,0.246
B9,0.452,0.052
C1,0.346,0.197
C2,0.491,0.379
C3,0.283,0.172
C4,0.314,0.177
C5,0.257,0.194
C6,0.46,0.244
C7,0.378,0.3
C8,0.322,0.257
D1,0.139,-0.007
D2,0.07,-0.194
D3,-0.239,-0.101
D4,0.019,0.145
D5,0.207,0.304
D6,0.26,0.012
E2,0.287,0.008
E4,0.18,0.15
E5,0.292,0.295
E6,0.144,-0.136
E7,0.199,0.03
F1,-0.281,-0.221
F2,-0.014,0.162
F3,0.122,0.142
F4,0.053,0.105
F5,-0.044,0.086
F6,0.337,0.123
G1,0.28,0.039
G2,0.165,0.19
G4,0.201,0.249
EN1,0.051,0.034
EN3,0.283,0.593
FN7,0.355,0.572
GN3,0.168,0.377
GN5,0.185,0.467
GN6,0.319,0.514
GN7,0.234,0.314
HN1,0.374,0.76
HN2,0.401,0.774
HN3,0.196,0.612
HN5,0.137,0.489
HN6,0.259,0.621
